ID,num_mentions
962303549,81
962303555,78
962272382,44
962263611,40
962267093,40
962224084,38
962220328,36
962303548,34
962303553,34
962305250,30
962255702,30
962304176,30
962272365,26
962284004,25
962220364,24
962301923,24
962303541,24
962270743,23
962220351,20
962220599,20
962224919,20
962230980,20
962232685,20
962240435,20
962240436,20
962240566,20
962247816,20
962257648,20
962261933,20
962269505,20
962284905,20
962299904,20
962301929,20
962224099,20
962224101,20
962224227,20
962225801,20
962227632,20
962241041,20
962255671,20
962260585,20
962262613,20
962264644,20
962268431,20
962273983,20
962275390,20
962275466,20
962284695,20
962286978,20
962287902,20
962287926,20
962289137,20
962289342,20
962289525,20
962290351,20
962293198,20
962297835,20
962298022,20
962303177,20
962304057,20
962304285,20
962312807,20
962321119,20
962302705,18
962302716,18
962306151,18
962310378,18
962220031,16
962220331,16
962228259,16
962249873,16
962261932,16
962231745,16
962249102,16
962271926,16
962312801,16
962220335,15
962284192,15
962293796,15
962245859,14
962301926,14
962303554,14
962250937,14
962281597,14
962265269,13
962265290,13
962270758,13
962220365,12
962231447,12
962297231,12
962302706,12
962302713,12
962302718,12
962302748,12
962309828,12
962246381,12
962290466,12
962294345,12
962310295,12
962219620,10
962220444,10
962220454,10
962221162,10
962222568,10
962222686,10
962224540,10
962224924,10
962227033,10
962228332,10
962228392,10
962228393,10
962228489,10
962232327,10
962233416,10
962235209,10
962235391,10
962236807,10
962237364,10
962237397,10
962237398,10
962237465,10
962240305,10
962240565,10
962241362,10
962242168,10
962243564,10
962243719,10
962245292,10
962246801,10
962246802,10
962247034,10
962249252,10
962249417,10
962249418,10
962249470,10
962249471,10
962249589,10
962249932,10
962250334,10
962250437,10
962251081,10
962251289,10
962253602,10
962255287,10
962255885,10
962255998,10
962256915,10
962256948,10
962257684,10
962264187,10
962265104,10
962265271,10
962267631,10
962271216,10
962271268,10
962271354,10
962273415,10
962273453,10
962273466,10
962276157,10
962276294,10
962276576,10
962276769,10
962277589,10
962278840,10
962279684,10
962280576,10
962280909,10
962282166,10
962282204,10
962284006,10
962284965,10
962285042,10
962286201,10
962286213,10
962287484,10
962288697,10
962290876,10
962292594,10
962294867,10
962296025,10
962296152,10
962296371,10
962297226,10
962298101,10
962298226,10
962298315,10
962298337,10
962298352,10
962302578,10
962303813,10
962304744,10
962306437,10
962306441,10
962309826,10
962309830,10
962310010,10
962310044,10
962310672,10
962310673,10
962310675,10
962315181,10
962315721,10
962315854,10
962318432,10
962321301,10
962223510,10
962223534,10
962223536,10
962223539,10
962223616,10
962223621,10
962223690,10
962223708,10
962223714,10
962223716,10
962223734,10
962223746,10
962223774,10
962223800,10
962223928,10
962224014,10
962224015,10
962224077,10
962224135,10
962224231,10
962224234,10
962224235,10
962224257,10
962224288,10
962224388,10
962224432,10
962225647,10
962225653,10
962225671,10
962225790,10
962225803,10
962225804,10
962225826,10
962225887,10
962225915,10
962225924,10
962227494,10
962227496,10
962227498,10
962227504,10
962227612,10
962227621,10
962227634,10
962227642,10
962227644,10
962227727,10
962229894,10
962229897,10
962229938,10
962229959,10
962229960,10
962230104,10
962230120,10
962230231,10
962230308,10
962230316,10
962230358,10
962230408,10
962230422,10
962230423,10
962231646,10
962231700,10
962231765,10
962231777,10
962231781,10
962231818,10
962231910,10
962234122,10
962234195,10
962234232,10
962234254,10
962234506,10
962234537,10
962234612,10
962234627,10
962235675,10
962235736,10
962235769,10
962235779,10
962237740,10
962237753,10
962237792,10
962237837,10
962237856,10
962238830,10
962238900,10
962238970,10
962238971,10
962238995,10
962240098,10
962240131,10
962240154,10
962240176,10
962240177,10
962240253,10
962243049,10
962243053,10
962243097,10
962243127,10
962243148,10
962243156,10
962244457,10
962244460,10
962244527,10
962244529,10
962244532,10
962244542,10
962244572,10
962244573,10
962244598,10
962244704,10
962246352,10
962246354,10
962246380,10
962246404,10
962246412,10
962247374,10
962247534,10
962247551,10
962247560,10
962247561,10
962247584,10
962247632,10
962247667,10
962249048,10
962249099,10
962249101,10
962249179,10
962250876,10
962250888,10
962250905,10
962250906,10
962250979,10
962251733,10
962251734,10
962251834,10
962251835,10
962252685,10
962252764,10
962252782,10
962252786,10
962252791,10
962252974,10
962254526,10
962255611,10
962255686,10
962256377,10
962256379,10
962256384,10
962256417,10
962256525,10
962256533,10
962256534,10
962256649,10
962257385,10
962258120,10
962258123,10
962258126,10
962258235,10
962258341,10
962258465,10
962258478,10
962258560,10
962258574,10
962258579,10
962258583,10
962258587,10
962258589,10
962258632,10
962258649,10
962258664,10
962258665,10
962258688,10
962258697,10
962260460,10
962260521,10
962261500,10
962261528,10
962261542,10
962261543,10
962261715,10
962262442,10
962262459,10
962262620,10
962263494,10
962263514,10
962263590,10
962263605,10
962263626,10
962263627,10
962263768,10
962263770,10
962263785,10
962263846,10
962263902,10
962263935,10
962264585,10
962264593,10
962264729,10
962264854,10
962264871,10
962264954,10
962264983,10
962265709,10
962265719,10
962265742,10
962265841,10
962265858,10
962265876,10
962265977,10
962265983,10
962266103,10
962266781,10
962266796,10
962266823,10
962266868,10
962266897,10
962266900,10
962266901,10
962266988,10
962267128,10
962267273,10
962267365,10
962268527,10
962268638,10
962269924,10
962269974,10
962269976,10
962269983,10
962270007,10
962270079,10
962270286,10
962270321,10
962270322,10
962270405,10
962271791,10
962271856,10
962271880,10
962271883,10
962271905,10
962271910,10
962272803,10
962272821,10
962272890,10
962272940,10
962272972,10
962272982,10
962273032,10
962273060,10
962273141,10
962273164,10
962273851,10
962273867,10
962273875,10
962273917,10
962273940,10
962273978,10
962273984,10
962273990,10
962274020,10
962274030,10
962274043,10
962274905,10
962274960,10
962274973,10
962275066,10
962275084,10
962275108,10
962275109,10
962275128,10
962275144,10
962275217,10
962275302,10
962275303,10
962275311,10
962275386,10
962275468,10
962275511,10
962275515,10
962275518,10
962275569,10
962275570,10
962275571,10
962275572,10
962275601,10
962275665,10
962275668,10
962277164,10
962277197,10
962277205,10
962277234,10
962277337,10
962277345,10
962278153,10
962278232,10
962278277,10
962278372,10
962279043,10
962279078,10
962279084,10
962279102,10
962279120,10
962279157,10
962279165,10
962279192,10
962279325,10
962280242,10
962280243,10
962280376,10
962280411,10
962281491,10
962281532,10
962281595,10
962281599,10
962281617,10
962281629,10
962282517,10
962282555,10
962282650,10
962282661,10
962282662,10
962282675,10
962282676,10
962283438,10
962283486,10
962283487,10
962283546,10
962283547,10
962283593,10
962283596,10
962284436,10
962284440,10
962284446,10
962284489,10
962284547,10
962284619,10
962284663,10
962284684,10
962284704,10
962284707,10
962285409,10
962285436,10
962285484,10
962285496,10
962285497,10
962285517,10
962285553,10
962285605,10
962285610,10
962285643,10
962285661,10
962285666,10
962286824,10
962286876,10
962286910,10
962286976,10
962286979,10
962286981,10
962286983,10
962286985,10
962287026,10
962287046,10
962287096,10
962287112,10
962287901,10
962287929,10
962287976,10
962288082,10
962288121,10
962289092,10
